Country,ActionWater,WaterType,Class_cane,Epidemic,YieldOldGrade,Type_Cane,GrooveWide,FertilizerType,TypeSoil,Fertilizer,TargetOldGrade,Area_Remain,ContractsArea,YieldGrade,FarmerContractGrade,TargetGrade,Rain_Avg,Yield_Category,YearBin
Pakistan,Water pour,Natural canal,2nd ratoon cane,Herbicide,Grade 2,Khonkean3,140 cm,Chemical,Loam,16-16-16,Grade 1,71.59,164.15,Grade 1,B,Grade 2,1289.61,High,1990s
India,Water pour,Groundwater,1st ratoon cane,Preemergent,Grade 2,K99-72,140 cm,Organic,Ferus soil,25-7-7,Grade 3,16.6,450.63,Grade 2,B,Grade 3,2744.76,Low,2010s
Nepal,Water pour,Natural canal,1st ratoon cane,Herbicide,Grade 3,Khonkean3,120 cm,Chemical,Ferus soil,25-7-7,Grade 3,90.77,166.84,Grade 1,C,Grade 2,1519.8,High,2010s
Sri Lanka,Rain,Natural canal,3rd ratoon cane,Herbicide,Grade 1,LK92-11,130 cm,Chemical,Ferus soil,46-0-0,Grade 3,73.67,225.84,Grade 3,C,Grade 2,1254.22,High,2010s
India,Rain,Groundwater,3rd ratoon cane,Preemergent,Grade 3,Khonkean3,120 cm,Chemical,Loam,46-0-0,Grade 1,39.38,396.83,Grade 3,C,Grade 2,1047.63,High,1970s
Sri Lanka,Rain,Natural canal,1st ratoon cane,Herbicide,Grade 1,K99-72,130 cm,Chemical,Ferus soil,15-15-15,Grade 3,36.53,201.96,Grade 3,A,Grade 2,680.82,High,2010s
Sri Lanka,Water pour,Natural canal,1st ratoon cane,Preemergent,Grade 1,K84-200,130 cm,Chemical,Loam,15-15-15,Grade 3,99.65,193.91,Grade 1,C,Grade 2,887.5,Low,1990s
Pakistan,Rain,Rain,2nd ratoon cane,Preemergent,Grade 1,K84-200,130 cm,Chemical,Loam,16-16-16,Grade 2,78.68,215.92,Grade 3,C,Grade 1,1127.9,Low,1980s
Bangladesh,Water pour,Rain,1st ratoon cane,Herbicide,Grade 1,K84-200,130 cm,Chemical,Ferus soil,46-0-0,Grade 2,73.17,291.85,Grade 2,A,Grade 3,2598.89,Low,1990s
Nepal,Water pour,Rain,2nd ratoon cane,Preemergent,Grade 3,LK92-11,150 cm,Chemical,Silty clay,15-15-15,Grade 1,42.5,439.18,Grade 2,B,Grade 1,1252.46,Low,1990s
Pakistan,Water pour,Natural canal,1st ratoon cane,Herbicide,Grade 2,K84-200,150 cm,Chemical,Ferus soil,16-16-16,Grade 1,12.08,276.84,Grade 3,B,Grade 1,1264.05,Low,2000s
Sri Lanka,Rain,Natural canal,3rd ratoon cane,Herbicide,Grade 3,K99-72,150 cm,Chemical,Ferus soil,16-16-16,Grade 2,92.53,474.86,Grade 1,A,Grade 1,2225.93,High,2010s
Nepal,Water pour,Rain,3rd ratoon cane,Herbicide,Grade 3,K99-72,130 cm,Chemical,Silty clay,46-0-0,Grade 3,83.88,384.22,Grade 2,B,Grade 3,666.62,High,2010s
Bangladesh,Rain,Groundwater,3rd ratoon cane,Preemergent,Grade 2,LK92-11,150 cm,Chemical,Loam,16-16-16,Grade 3,44.26,113.31,Grade 1,A,Grade 1,2382.18,Low,1980s
India,Rain,Groundwater,3rd ratoon cane,Herbicide,Grade 3,LK92-11,140 cm,Chemical,Ferus soil,15-15-15,Grade 2,54.81,379.17,Grade 3,A,Grade 1,952.96,High,2010s
India,Water pour,Rain,2nd ratoon cane,Herbicide,Grade 2,K84-200,150 cm,Organic,Ferus soil,15-15-15,Grade 3,92.78,49.11,Grade 3,C,Grade 2,2742.64,High,1980s
Bangladesh,Water pour,Natural canal,1st ratoon cane,Preemergent,Grade 3,K84-200,120 cm,Chemical,Loam,25-7-7,Grade 1,68.33,129.22,Grade 1,B,Grade 3,989.97,High,1970s
Bangladesh,Rain,Rain,1st ratoon cane,Herbicide,Grade 1,K99-72,140 cm,Organic,Loam,25-7-7,Grade 1,63.32,95.23,Grade 2,B,Grade 2,2347.36,Low,1980s
Bangladesh,Rain,Rain,3rd ratoon cane,Herbicide,Grade 3,K84-200,140 cm,Organic,Silty clay,46-0-0,Grade 1,97.45,95.71,Grade 1,A,Grade 2,1203.35,High,2000s
Bangladesh,Rain,Groundwater,1st ratoon cane,Herbicide,Grade 3,K84-200,120 cm,Chemical,Ferus soil,46-0-0,Grade 2,92.44,392.99,Grade 3,B,Grade 1,857.5,Low,1980s
India,Water pour,Rain,3rd ratoon cane,Preemergent,Grade 3,K99-72,130 cm,Organic,Ferus soil,15-15-15,Grade 1,32.92,220.34,Grade 3,C,Grade 1,1030.22,High,2000s
Sri Lanka,Water pour,Groundwater,3rd ratoon cane,Preemergent,Grade 2,K84-200,150 cm,Organic,Silty clay,25-7-7,Grade 3,20.98,227.93,Grade 3,B,Grade 1,681.91,Low,2000s
Pakistan,Water pour,Groundwater,3rd ratoon cane,Preemergent,Grade 3,Khonkean3,150 cm,Chemical,Silty clay,15-15-15,Grade 2,40.22,459.72,Grade 3,A,Grade 2,2641.57,Low,2000s
India,Rain,Rain,2nd ratoon cane,Preemergent,Grade 1,Khonkean3,140 cm,Organic,Silty clay,16-16-16,Grade 3,26.04,477.57,Grade 2,B,Grade 1,1521.44,High,2000s
Sri Lanka,Rain,Groundwater,2nd ratoon cane,Preemergent,Grade 1,Khonkean3,150 cm,Chemical,Silty clay,16-16-16,Grade 2,59.44,467.84,Grade 1,C,Grade 3,1181.2,Low,1980s
Pakistan,Water pour,Groundwater,3rd ratoon cane,Preemergent,Grade 3,Khonkean3,140 cm,Organic,Loam,16-16-16,Grade 3,6.17,293.86,Grade 3,A,Grade 3,1827.05,High,1980s
Bangladesh,Water pour,Groundwater,2nd ratoon cane,Preemergent,Grade 3,K99-72,150 cm,Chemical,Ferus soil,46-0-0,Grade 2,75.27,338.91,Grade 3,C,Grade 1,1992.78,Low,1990s
Sri Lanka,Rain,Rain,2nd ratoon cane,Herbicide,Grade 3,K84-200,150 cm,Organic,Loam,15-15-15,Grade 1,48.04,497.04,Grade 3,C,Grade 1,687.03,Low,2010s
India,Water pour,Natural canal,1st ratoon cane,Herbicide,Grade 1,Khonkean3,130 cm,Chemical,Loam,16-16-16,Grade 1,94.04,164.79,Grade 1,A,Grade 2,1614.13,Low,2000s
Pakistan,Water pour,Rain,1st ratoon cane,Preemergent,Grade 2,Khonkean3,150 cm,Organic,Silty clay,16-16-16,Grade 2,72.44,264.5,Grade 2,B,Grade 3,2147.19,High,1990s
Nepal,Water pour,Natural canal,2nd ratoon cane,Preemergent,Grade 3,Khonkean3,140 cm,Organic,Ferus soil,46-0-0,Grade 1,7.49,54.84,Grade 1,A,Grade 2,855.15,Low,1980s
Bangladesh,Rain,Natural canal,1st ratoon cane,Preemergent,Grade 1,Khonkean3,130 cm,Chemical,Silty clay,46-0-0,Grade 3,37.37,447.81,Grade 1,B,Grade 3,2045.14,High,1970s
Pakistan,Rain,Rain,2nd ratoon cane,Preemergent,Grade 1,K84-200,130 cm,Chemical,Loam,25-7-7,Grade 1,88.39,208.68,Grade 1,A,Grade 1,2225.14,High,2000s
Bangladesh,Water pour,Natural canal,2nd ratoon cane,Herbicide,Grade 2,LK92-11,150 cm,Chemical,Silty clay,16-16-16,Grade 3,90.89,155.78,Grade 1,C,Grade 1,1461.96,Low,1990s
Pakistan,Water pour,Natural canal,1st ratoon cane,Herbicide,Grade 2,LK92-11,130 cm,Chemical,Silty clay,25-7-7,Grade 3,66.83,379.21,Grade 1,C,Grade 2,522.95,High,2010s
Pakistan,Water pour,Groundwater,1st ratoon cane,Herbicide,Grade 2,K99-72,130 cm,Organic,Silty clay,15-15-15,Grade 2,38.25,497.87,Grade 3,A,Grade 2,2634.09,Low,1980s
Nepal,Water pour,Rain,1st ratoon cane,Preemergent,Grade 2,K99-72,130 cm,Chemical,Ferus soil,16-16-16,Grade 3,49.21,455.09,Grade 3,A,Grade 2,848.41,Low,2000s
Sri Lanka,Water pour,Rain,1st ratoon cane,Herbicide,Grade 1,K99-72,130 cm,Chemical,Loam,46-0-0,Grade 3,72.43,382.1,Grade 1,C,Grade 3,1774.38,Low,2010s
Bangladesh,Rain,Natural canal,1st ratoon cane,Preemergent,Grade 2,K99-72,140 cm,Chemical,Ferus soil,46-0-0,Grade 1,55.05,130.04,Grade 1,C,Grade 3,2899.89,Low,2010s
Nepal,Water pour,Rain,2nd ratoon cane,Herbicide,Grade 2,LK92-11,150 cm,Chemical,Loam,16-16-16,Grade 3,80.19,298.29,Grade 3,C,Grade 3,1257.67,Low,2020s
Bangladesh,Water pour,Groundwater,1st ratoon cane,Preemergent,Grade 2,K84-200,140 cm,Chemical,Loam,46-0-0,Grade 2,24.02,452.51,Grade 3,A,Grade 1,2915.43,High,1970s
Sri Lanka,Rain,Natural canal,3rd ratoon cane,Herbicide,Grade 2,K84-200,140 cm,Organic,Silty clay,16-16-16,Grade 2,94.77,180.93,Grade 2,B,Grade 1,2125.06,Low,1990s
Sri Lanka,Water pour,Rain,3rd ratoon cane,Herbicide,Grade 2,Khonkean3,130 cm,Chemical,Ferus soil,46-0-0,Grade 3,70.62,82.0,Grade 3,B,Grade 3,603.77,High,1990s
Nepal,Rain,Rain,2nd ratoon cane,Herbicide,Grade 1,Khonkean3,150 cm,Organic,Loam,46-0-0,Grade 3,82.38,93.14,Grade 3,C,Grade 3,694.13,High,1990s
Pakistan,Rain,Natural canal,2nd ratoon cane,Preemergent,Grade 2,K84-200,120 cm,Organic,Ferus soil,16-16-16,Grade 1,75.26,332.94,Grade 3,C,Grade 3,1337.75,High,2010s
Pakistan,Rain,Rain,2nd ratoon cane,Preemergent,Grade 1,K99-72,150 cm,Organic,Silty clay,46-0-0,Grade 3,99.98,256.59,Grade 2,B,Grade 2,1639.85,High,1990s
Bangladesh,Water pour,Rain,3rd ratoon cane,Herbicide,Grade 3,Khonkean3,120 cm,Organic,Ferus soil,16-16-16,Grade 3,74.34,448.75,Grade 2,C,Grade 2,2005.2,Low,1990s
Pakistan,Rain,Natural canal,1st ratoon cane,Preemergent,Grade 2,LK92-11,150 cm,Organic,Loam,25-7-7,Grade 3,91.99,489.74,Grade 1,C,Grade 3,1755.66,High,2000s
Sri Lanka,Water pour,Rain,1st ratoon cane,Herbicide,Grade 3,Khonkean3,120 cm,Organic,Loam,46-0-0,Grade 1,5.36,162.71,Grade 1,C,Grade 2,1632.29,High,1990s
Pakistan,Water pour,Rain,2nd ratoon cane,Herbicide,Grade 2,LK92-11,140 cm,Organic,Silty clay,16-16-16,Grade 2,84.79,227.2,Grade 2,C,Grade 3,1011.65,High,2020s
India,Rain,Groundwater,1st ratoon cane,Preemergent,Grade 1,K84-200,140 cm,Chemical,Ferus soil,25-7-7,Grade 2,29.03,87.51,Grade 1,B,Grade 3,2155.24,Low,1990s
Nepal,Rain,Natural canal,3rd ratoon cane,Herbicide,Grade 3,K84-200,120 cm,Chemical,Loam,16-16-16,Grade 3,47.14,41.49,Grade 2,B,Grade 1,1527.58,Low,2000s
Nepal,Water pour,Natural canal,3rd ratoon cane,Herbicide,Grade 3,Khonkean3,150 cm,Chemical,Ferus soil,25-7-7,Grade 2,92.56,293.32,Grade 1,B,Grade 3,1592.28,High,1970s
Bangladesh,Rain,Natural canal,2nd ratoon cane,Herbicide,Grade 2,K84-200,120 cm,Chemical,Ferus soil,25-7-7,Grade 2,53.31,246.33,Grade 2,C,Grade 1,1462.22,High,1980s
Pakistan,Water pour,Rain,3rd ratoon cane,Preemergent,Grade 1,K84-200,140 cm,Organic,Silty clay,16-16-16,Grade 1,48.9,43.85,Grade 3,B,Grade 2,1442.41,High,2000s
Bangladesh,Water pour,Natural canal,3rd ratoon cane,Preemergent,Grade 2,K84-200,130 cm,Organic,Ferus soil,46-0-0,Grade 3,50.08,456.76,Grade 1,A,Grade 1,2305.45,High,1970s
India,Rain,Rain,3rd ratoon cane,Herbicide,Grade 2,K99-72,130 cm,Chemical,Ferus soil,25-7-7,Grade 3,59.55,307.86,Grade 1,C,Grade 1,2192.04,Low,1970s
Bangladesh,Rain,Groundwater,1st ratoon cane,Preemergent,Grade 3,Khonkean3,140 cm,Chemical,Ferus soil,46-0-0,Grade 2,38.77,33.19,Grade 3,A,Grade 3,1624.22,High,2010s
Bangladesh,Rain,Natural canal,1st ratoon cane,Herbicide,Grade 3,K84-200,130 cm,Organic,Loam,15-15-15,Grade 3,69.91,485.48,Grade 1,A,Grade 3,2299.5,High,2020s
Pakistan,Water pour,Groundwater,2nd ratoon cane,Herbicide,Grade 1,K84-200,140 cm,Organic,Loam,16-16-16,Grade 1,74.81,232.39,Grade 1,A,Grade 3,1678.92,High,1980s
Nepal,Water pour,Rain,1st ratoon cane,Preemergent,Grade 1,K84-200,130 cm,Chemical,Ferus soil,15-15-15,Grade 2,67.44,314.41,Grade 1,C,Grade 3,2563.91,Low,1970s
Sri Lanka,Rain,Rain,2nd ratoon cane,Herbicide,Grade 1,LK92-11,130 cm,Chemical,Loam,15-15-15,Grade 1,78.06,388.8,Grade 1,C,Grade 3,2276.58,Low,1990s
India,Water pour,Rain,2nd ratoon cane,Herbicide,Grade 3,Khonkean3,140 cm,Chemical,Loam,25-7-7,Grade 1,50.64,99.19,Grade 2,A,Grade 1,1325.89,High,1980s
Nepal,Water pour,Rain,2nd ratoon cane,Preemergent,Grade 2,K99-72,130 cm,Organic,Ferus soil,25-7-7,Grade 3,66.6,286.78,Grade 3,A,Grade 3,1725.84,High,2000s
Bangladesh,Water pour,Natural canal,2nd ratoon cane,Herbicide,Grade 3,Khonkean3,150 cm,Chemical,Ferus soil,46-0-0,Grade 3,6.46,443.03,Grade 3,A,Grade 3,1439.17,Low,2000s
Sri Lanka,Rain,Natural canal,1st ratoon cane,Herbicide,Grade 3,K84-200,150 cm,Chemical,Ferus soil,46-0-0,Grade 2,95.66,350.86,Grade 1,B,Grade 2,1110.56,Low,1990s
Bangladesh,Water pour,Rain,2nd ratoon cane,Herbicide,Grade 2,K99-72,140 cm,Organic,Loam,16-16-16,Grade 3,49.48,66.88,Grade 3,C,Grade 1,2417.39,High,2000s
Sri Lanka,Water pour,Groundwater,1st ratoon cane,Preemergent,Grade 2,K99-72,120 cm,Chemical,Loam,16-16-16,Grade 2,44.65,224.39,Grade 3,C,Grade 1,2552.21,Low,2000s
Nepal,Rain,Natural canal,3rd ratoon cane,Preemergent,Grade 2,Khonkean3,130 cm,Organic,Silty clay,25-7-7,Grade 3,37.77,467.31,Grade 3,C,Grade 3,2184.02,Low,2010s
India,Rain,Natural canal,1st ratoon cane,Preemergent,Grade 1,Khonkean3,130 cm,Chemical,Ferus soil,15-15-15,Grade 1,63.95,355.37,Grade 1,B,Grade 2,2102.74,Low,1970s
Pakistan,Water pour,Natural canal,2nd ratoon cane,Preemergent,Grade 2,LK92-11,140 cm,Chemical,Loam,15-15-15,Grade 3,34.54,128.58,Grade 2,C,Grade 2,743.36,High,1980s
Nepal,Water pour,Groundwater,1st ratoon cane,Preemergent,Grade 1,LK92-11,130 cm,Organic,Ferus soil,46-0-0,Grade 1,37.41,119.75,Grade 3,B,Grade 1,1352.32,High,1990s
India,Water pour,Natural canal,2nd ratoon cane,Herbicide,Grade 1,K99-72,120 cm,Organic,Loam,15-15-15,Grade 1,33.64,410.42,Grade 1,A,Grade 1,2544.76,High,2000s
Sri Lanka,Rain,Rain,3rd ratoon cane,Preemergent,Grade 3,K84-200,150 cm,Chemical,Loam,46-0-0,Grade 2,17.39,290.51,Grade 2,B,Grade 1,1409.67,Low,1980s
Nepal,Water pour,Natural canal,3rd ratoon cane,Preemergent,Grade 2,LK92-11,140 cm,Chemical,Ferus soil,16-16-16,Grade 3,74.88,329.41,Grade 1,A,Grade 3,1996.13,Low,2000s
India,Rain,Rain,2nd ratoon cane,Preemergent,Grade 1,LK92-11,140 cm,Chemical,Ferus soil,15-15-15,Grade 1,43.65,255.28,Grade 3,C,Grade 2,1960.86,High,1980s
Sri Lanka,Rain,Groundwater,3rd ratoon cane,Preemergent,Grade 2,K99-72,140 cm,Organic,Loam,15-15-15,Grade 1,22.6,460.41,Grade 2,B,Grade 3,1862.67,Low,2020s
Nepal,Water pour,Rain,2nd ratoon cane,Preemergent,Grade 1,K84-200,130 cm,Chemical,Ferus soil,16-16-16,Grade 3,82.54,480.52,Grade 2,B,Grade 3,2940.0,High,1980s
Pakistan,Rain,Natural canal,3rd ratoon cane,Herbicide,Grade 1,K84-200,140 cm,Organic,Silty clay,15-15-15,Grade 1,17.15,419.31,Grade 3,C,Grade 2,2579.72,High,2020s
Bangladesh,Water pour,Groundwater,1st ratoon cane,Herbicide,Grade 2,LK92-11,150 cm,Organic,Ferus soil,16-16-16,Grade 1,77.83,161.17,Grade 2,C,Grade 1,572.79,Low,2000s
Bangladesh,Water pour,Groundwater,1st ratoon cane,Preemergent,Grade 2,K99-72,150 cm,Chemical,Silty clay,25-7-7,Grade 3,56.85,22.74,Grade 3,C,Grade 3,1155.45,High,1970s
Bangladesh,Rain,Natural canal,3rd ratoon cane,Preemergent,Grade 2,LK92-11,130 cm,Organic,Silty clay,25-7-7,Grade 2,90.58,26.42,Grade 3,A,Grade 1,1191.03,High,1980s
India,Rain,Groundwater,3rd ratoon cane,Herbicide,Grade 2,K99-72,150 cm,Organic,Silty clay,16-16-16,Grade 1,50.45,51.31,Grade 3,A,Grade 1,2790.62,High,2010s
Pakistan,Rain,Natural canal,3rd ratoon cane,Preemergent,Grade 1,Khonkean3,120 cm,Organic,Ferus soil,46-0-0,Grade 3,85.8,295.53,Grade 2,A,Grade 2,2578.45,Low,2000s
Pakistan,Rain,Rain,2nd ratoon cane,Herbicide,Grade 2,K99-72,140 cm,Chemical,Ferus soil,25-7-7,Grade 3,27.2,289.7,Grade 1,B,Grade 1,1430.48,High,2000s
Nepal,Water pour,Natural canal,2nd ratoon cane,Preemergent,Grade 3,K99-72,120 cm,Chemical,Ferus soil,25-7-7,Grade 3,69.23,47.62,Grade 2,A,Grade 2,2040.93,Low,2010s
Sri Lanka,Water pour,Rain,3rd ratoon cane,Herbicide,Grade 1,K99-72,130 cm,Organic,Loam,15-15-15,Grade 2,36.51,296.23,Grade 3,A,Grade 1,1120.37,Low,2010s
India,Water pour,Rain,3rd ratoon cane,Herbicide,Grade 3,Khonkean3,140 cm,Organic,Silty clay,46-0-0,Grade 2,83.47,78.79,Grade 1,C,Grade 1,1140.3,High,2000s
Pakistan,Rain,Groundwater,2nd ratoon cane,Preemergent,Grade 2,Khonkean3,130 cm,Organic,Silty clay,16-16-16,Grade 3,57.02,266.82,Grade 1,A,Grade 2,1462.34,High,2000s
Pakistan,Rain,Groundwater,1st ratoon cane,Herbicide,Grade 2,LK92-11,140 cm,Organic,Ferus soil,46-0-0,Grade 3,83.56,66.85,Grade 1,C,Grade 1,1310.37,Low,1980s
India,Water pour,Rain,3rd ratoon cane,Herbicide,Grade 3,Khonkean3,150 cm,Organic,Silty clay,15-15-15,Grade 2,19.23,35.59,Grade 2,A,Grade 2,2032.95,Low,2000s
Bangladesh,Water pour,Groundwater,1st ratoon cane,Preemergent,Grade 2,K84-200,150 cm,Chemical,Loam,25-7-7,Grade 1,92.91,141.88,Grade 1,A,Grade 3,2813.78,High,1990s
Pakistan,Water pour,Rain,1st ratoon cane,Preemergent,Grade 1,K99-72,120 cm,Chemical,Silty clay,16-16-16,Grade 2,79.51,427.92,Grade 3,A,Grade 2,2622.1,High,1980s
Pakistan,Rain,Natural canal,3rd ratoon cane,Preemergent,Grade 2,K99-72,130 cm,Chemical,Silty clay,16-16-16,Grade 1,85.57,88.07,Grade 1,A,Grade 3,839.59,High,1990s
Pakistan,Water pour,Natural canal,3rd ratoon cane,Herbicide,Grade 3,LK92-11,140 cm,Chemical,Ferus soil,46-0-0,Grade 2,8.69,139.65,Grade 3,A,Grade 1,998.59,High,1970s
Sri Lanka,Rain,Groundwater,2nd ratoon cane,Herbicide,Grade 3,LK92-11,150 cm,Chemical,Ferus soil,16-16-16,Grade 2,94.23,277.74,Grade 1,A,Grade 2,2636.39,Low,2000s
Pakistan,Rain,Groundwater,1st ratoon cane,Herbicide,Grade 3,LK92-11,140 cm,Organic,Ferus soil,46-0-0,Grade 1,8.8,487.38,Grade 2,B,Grade 3,1771.62,High,1990s
Nepal,Water pour,Groundwater,2nd ratoon cane,Preemergent,Grade 3,Khonkean3,140 cm,Organic,Loam,46-0-0,Grade 2,68.38,19.9,Grade 3,C,Grade 1,1963.73,High,1970s
Bangladesh,Water pour,Natural canal,3rd ratoon cane,Herbicide,Grade 3,K84-200,130 cm,Organic,Loam,16-16-16,Grade 1,80.7,284.37,Grade 3,C,Grade 1,625.22,High,2010s
Bangladesh,Water pour,Groundwater,3rd ratoon cane,Herbicide,Grade 1,Khonkean3,140 cm,Chemical,Loam,16-16-16,Grade 2,10.9,353.51,Grade 2,B,Grade 2,1226.25,High,1990s
Sri Lanka,Water pour,Rain,1st ratoon cane,Herbicide,Grade 2,K84-200,140 cm,Organic,Silty clay,16-16-16,Grade 2,57.49,66.58,Grade 3,B,Grade 1,1454.76,Low,1990s
Nepal,Water pour,Groundwater,2nd ratoon cane,Herbicide,Grade 3,K84-200,120 cm,Chemical,Loam,16-16-16,Grade 1,78.59,11.49,Grade 3,A,Grade 1,2283.83,Low,2000s
Bangladesh,Rain,Groundwater,3rd ratoon cane,Herbicide,Grade 2,K84-200,130 cm,Chemical,Loam,16-16-16,Grade 3,48.39,105.99,Grade 2,C,Grade 1,2051.09,Low,2000s
Pakistan,Water pour,Natural canal,1st ratoon cane,Herbicide,Grade 3,K99-72,120 cm,Organic,Loam,15-15-15,Grade 2,9.03,28.1,Grade 3,B,Grade 2,2261.04,Low,2000s
Sri Lanka,Water pour,Groundwater,1st ratoon cane,Herbicide,Grade 2,K84-200,140 cm,Chemical,Loam,15-15-15,Grade 2,89.96,371.18,Grade 1,A,Grade 1,928.98,Low,1970s
Sri Lanka,Rain,Natural canal,1st ratoon cane,Preemergent,Grade 2,Khonkean3,140 cm,Chemical,Silty clay,15-15-15,Grade 2,95.59,126.55,Grade 1,C,Grade 3,2807.83,Low,2000s
India,Water pour,Rain,2nd ratoon cane,Preemergent,Grade 2,K84-200,130 cm,Organic,Loam,15-15-15,Grade 2,84.1,461.57,Grade 1,A,Grade 3,1767.57,High,1970s
Nepal,Water pour,Natural canal,1st ratoon cane,Preemergent,Grade 2,LK92-11,150 cm,Chemical,Loam,16-16-16,Grade 3,12.29,29.24,Grade 1,C,Grade 3,504.06,Low,2010s
Sri Lanka,Water pour,Groundwater,2nd ratoon cane,Preemergent,Grade 3,K84-200,140 cm,Chemical,Ferus soil,15-15-15,Grade 1,54.81,436.34,Grade 1,B,Grade 1,521.07,High,1980s
Bangladesh,Water pour,Groundwater,2nd ratoon cane,Herbicide,Grade 1,LK92-11,120 cm,Organic,Loam,16-16-16,Grade 3,68.38,467.1,Grade 1,A,Grade 2,2699.65,High,1990s
Bangladesh,Water pour,Rain,1st ratoon cane,Preemergent,Grade 1,Khonkean3,120 cm,Chemical,Silty clay,15-15-15,Grade 2,66.92,107.54,Grade 2,B,Grade 1,2522.44,Low,1990s
India,Water pour,Groundwater,1st ratoon cane,Herbicide,Grade 1,K99-72,120 cm,Chemical,Ferus soil,46-0-0,Grade 3,47.04,264.8,Grade 1,C,Grade 2,2281.33,Low,2010s
Pakistan,Rain,Natural canal,3rd ratoon cane,Preemergent,Grade 1,K84-200,150 cm,Organic,Silty clay,25-7-7,Grade 1,43.41,426.31,Grade 2,A,Grade 2,1599.72,High,2000s
Nepal,Rain,Groundwater,1st ratoon cane,Preemergent,Grade 1,LK92-11,150 cm,Organic,Ferus soil,25-7-7,Grade 1,27.84,251.08,Grade 2,A,Grade 3,2297.35,Low,1990s
Bangladesh,Rain,Rain,3rd ratoon cane,Herbicide,Grade 2,K99-72,130 cm,Organic,Silty clay,25-7-7,Grade 3,61.06,437.64,Grade 3,C,Grade 2,2388.18,Low,1990s
India,Water pour,Natural canal,1st ratoon cane,Preemergent,Grade 1,K99-72,120 cm,Chemical,Loam,25-7-7,Grade 1,93.03,407.7,Grade 1,A,Grade 2,816.35,Low,1970s
Sri Lanka,Rain,Groundwater,3rd ratoon cane,Herbicide,Grade 3,Khonkean3,120 cm,Organic,Loam,16-16-16,Grade 2,69.14,443.9,Grade 2,A,Grade 3,1920.23,High,1990s
Sri Lanka,Rain,Natural canal,2nd ratoon cane,Herbicide,Grade 2,K84-200,120 cm,Organic,Ferus soil,16-16-16,Grade 2,8.76,438.89,Grade 2,C,Grade 1,2186.47,High,1990s
Bangladesh,Rain,Rain,3rd ratoon cane,Preemergent,Grade 2,Khonkean3,140 cm,Organic,Loam,16-16-16,Grade 1,63.85,333.5,Grade 3,C,Grade 3,2661.45,High,1980s
Nepal,Rain,Natural canal,1st ratoon cane,Preemergent,Grade 2,LK92-11,150 cm,Organic,Loam,16-16-16,Grade 3,54.54,42.71,Grade 2,C,Grade 1,1117.22,High,2000s
Nepal,Water pour,Groundwater,1st ratoon cane,Herbicide,Grade 1,K84-200,130 cm,Chemical,Silty clay,25-7-7,Grade 1,17.23,426.18,Grade 1,B,Grade 2,1949.87,Low,1980s
Pakistan,Rain,Natural canal,3rd ratoon cane,Preemergent,Grade 2,K99-72,130 cm,Organic,Loam,15-15-15,Grade 1,51.35,14.88,Grade 3,A,Grade 1,2049.87,High,2000s
Pakistan,Rain,Groundwater,1st ratoon cane,Herbicide,Grade 1,LK92-11,120 cm,Chemical,Silty clay,16-16-16,Grade 3,36.3,107.15,Grade 1,B,Grade 1,766.76,Low,2010s
Nepal,Rain,Groundwater,1st ratoon cane,Preemergent,Grade 1,K84-200,130 cm,Organic,Loam,25-7-7,Grade 2,19.48,382.56,Grade 1,B,Grade 1,2952.92,Low,2000s
Bangladesh,Water pour,Groundwater,3rd ratoon cane,Preemergent,Grade 3,K84-200,140 cm,Organic,Ferus soil,25-7-7,Grade 3,11.09,407.56,Grade 2,C,Grade 2,2775.76,Low,1970s
Nepal,Water pour,Rain,1st ratoon cane,Herbicide,Grade 3,Khonkean3,130 cm,Chemical,Ferus soil,25-7-7,Grade 3,98.5,458.62,Grade 1,A,Grade 2,2050.68,Low,1990s
Sri Lanka,Rain,Rain,1st ratoon cane,Herbicide,Grade 3,K99-72,140 cm,Chemical,Silty clay,16-16-16,Grade 1,18.07,19.48,Grade 3,B,Grade 1,676.88,Low,1970s
Nepal,Water pour,Groundwater,2nd ratoon cane,Herbicide,Grade 2,LK92-11,140 cm,Organic,Ferus soil,46-0-0,Grade 2,66.73,190.9,Grade 2,C,Grade 2,875.85,High,1970s
India,Water pour,Rain,3rd ratoon cane,Herbicide,Grade 3,K99-72,150 cm,Chemical,Ferus soil,16-16-16,Grade 1,82.85,137.0,Grade 2,C,Grade 1,541.75,High,1970s
Nepal,Rain,Groundwater,3rd ratoon cane,Preemergent,Grade 1,LK92-11,140 cm,Chemical,Ferus soil,46-0-0,Grade 2,73.08,301.91,Grade 3,C,Grade 2,2827.2,Low,1980s
India,Water pour,Rain,1st ratoon cane,Herbicide,Grade 2,Khonkean3,150 cm,Organic,Ferus soil,16-16-16,Grade 2,60.8,464.82,Grade 3,C,Grade 3,632.93,High,2020s
Pakistan,Rain,Rain,3rd ratoon cane,Herbicide,Grade 2,Khonkean3,130 cm,Organic,Silty clay,25-7-7,Grade 1,73.4,220.96,Grade 2,B,Grade 1,1893.94,Low,1990s
India,Rain,Natural canal,3rd ratoon cane,Preemergent,Grade 2,K84-200,140 cm,Organic,Loam,15-15-15,Grade 3,11.53,480.05,Grade 2,C,Grade 3,1560.29,High,1980s
Pakistan,Rain,Groundwater,3rd ratoon cane,Herbicide,Grade 2,K84-200,150 cm,Chemical,Ferus soil,46-0-0,Grade 2,65.62,67.99,Grade 2,B,Grade 2,1534.05,High,1980s
