"","Year","Country","ActionWater","WaterType","Class_cane","Epidemic","YieldOldGrade","Type_Cane","GrooveWide","FertilizerType","TypeSoil","Fertilizer","TargetOldGrade","Yield","Area_Remain","ContractsArea","YieldGrade","FarmerContractGrade","TargetGrade","Rain_Avg"
"16313",1986,"India","Rain","Groundwater","2nd ratoon cane","Herbicide","Grade 3","LK92-11","150 cm","Chemical","Silty clay","15-15-15","Grade 2",73.71,60.16,209.02,"Grade 3","A","Grade 3",1211.54
"16315",1988,"India","Rain","Natural canal","2nd ratoon cane","Preemergent","Grade 1","K99-72","120 cm","Chemical","Silty clay","15-15-15","Grade 3",123.18,28.69,438.86,"Grade 3","C","Grade 3",2457.82
"16316",1989,"Nepal","Rain","Natural canal","1st ratoon cane","Herbicide","Grade 2","Khonkean3","120 cm","Chemical","Silty clay","16-16-16","Grade 2",108.8,94.71,428.41,"Grade 1","B","Grade 1",1870.01
"16317",1990,"Bangladesh","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 3","K99-72","120 cm","Chemical","Silty clay","46-0-0","Grade 2",81.02,58.24,285.51,"Grade 1","A","Grade 2",2774.98
"16318",1991,"Sri Lanka","Water pour","Groundwater","2nd ratoon cane","Preemergent","Grade 1","LK92-11","140 cm","Organic","Loam","15-15-15","Grade 3",110.38,81.9,159.77,"Grade 1","B","Grade 3",990.78
"16319",1992,"Bangladesh","Rain","Natural canal","3rd ratoon cane","Preemergent","Grade 1","LK92-11","150 cm","Organic","Loam","46-0-0","Grade 3",105.15,74.88,149.65,"Grade 2","A","Grade 1",2029.11
"16320",1993,"India","Rain","Natural canal","2nd ratoon cane","Preemergent","Grade 3","K99-72","130 cm","Chemical","Silty clay","46-0-0","Grade 2",185.15,87.16,355.61,"Grade 2","C","Grade 2",996.82
"16321",1994,"Bangladesh","Water pour","Groundwater","2nd ratoon cane","Preemergent","Grade 2","LK92-11","120 cm","Organic","Ferus soil","16-16-16","Grade 2",166.61,59.37,446.8,"Grade 3","C","Grade 1",1779.91
"16323",1996,"India","Rain","Groundwater","1st ratoon cane","Herbicide","Grade 3","LK92-11","130 cm","Organic","Silty clay","46-0-0","Grade 3",144.75,21.8,29.13,"Grade 2","A","Grade 2",2611.2
"16324",1997,"Pakistan","Rain","Rain","3rd ratoon cane","Preemergent","Grade 1","LK92-11","120 cm","Chemical","Ferus soil","15-15-15","Grade 3",182.52,57.76,339,"Grade 1","A","Grade 3",1449.43
"16327",2000,"India","Rain","Rain","2nd ratoon cane","Herbicide","Grade 3","LK92-11","150 cm","Organic","Ferus soil","15-15-15","Grade 3",135.47,5.1,211.41,"Grade 1","B","Grade 3",863.87
"16328",2001,"Nepal","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 3","LK92-11","140 cm","Organic","Silty clay","15-15-15","Grade 3",156.84,15.78,383.91,"Grade 1","B","Grade 3",1420.82
"16329",2002,"India","Water pour","Groundwater","2nd ratoon cane","Herbicide","Grade 2","LK92-11","120 cm","Organic","Silty clay","25-07-2007","Grade 3",137.31,88.51,10.21,"Grade 3","C","Grade 3",1210.86
"16330",2003,"Sri Lanka","Water pour","Natural canal","2nd ratoon cane","Herbicide","Grade 3","K84-200","130 cm","Chemical","Loam","15-15-15","Grade 2",100.74,76.12,18.06,"Grade 1","C","Grade 3",1599.66
"16331",2004,"Bangladesh","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 3","Khonkean3","140 cm","Organic","Ferus soil","46-0-0","Grade 3",174.34,47.86,173.08,"Grade 2","A","Grade 2",2541.78
"16332",2005,"Pakistan","Rain","Natural canal","2nd ratoon cane","Herbicide","Grade 1","K84-200","130 cm","Organic","Silty clay","25-07-2007","Grade 1",81.34,98.45,280.41,"Grade 2","A","Grade 1",2279.63
"16333",2006,"Pakistan","Water pour","Natural canal","2nd ratoon cane","Herbicide","Grade 3","K84-200","140 cm","Organic","Loam","25-07-2007","Grade 3",70.51,64.29,419.26,"Grade 2","C","Grade 3",2895.35
"16334",2007,"Sri Lanka","Rain","Rain","3rd ratoon cane","Preemergent","Grade 2","K84-200","150 cm","Organic","Loam","15-15-15","Grade 3",88.52,70.06,278.71,"Grade 3","B","Grade 3",1917.64
"16335",2008,"Pakistan","Rain","Rain","2nd ratoon cane","Preemergent","Grade 1","K84-200","130 cm","Chemical","Loam","15-15-15","Grade 3",75.71,75.7,59.59,"Grade 2","A","Grade 1",2431.02
"16336",2009,"Nepal","Water pour","Rain","1st ratoon cane","Preemergent","Grade 2","LK92-11","130 cm","Organic","Silty clay","46-0-0","Grade 3",165.78,46.32,51.12,"Grade 3","B","Grade 3",2536.55
"16337",2010,"Pakistan","Rain","Natural canal","1st ratoon cane","Herbicide","Grade 1","LK92-11","150 cm","Organic","Loam","15-15-15","Grade 1",185.62,18.55,342.7,"Grade 3","C","Grade 1",2635.41
"16339",2012,"Sri Lanka","Water pour","Groundwater","3rd ratoon cane","Herbicide","Grade 3","Khonkean3","120 cm","Chemical","Silty clay","25-07-2007","Grade 2",161.1,86.65,475.74,"Grade 3","B","Grade 2",895.78
"16341",2014,"Nepal","Rain","Rain","2nd ratoon cane","Herbicide","Grade 3","K84-200","120 cm","Organic","Loam","25-07-2007","Grade 3",92.11,10.79,240.67,"Grade 1","C","Grade 3",2608.87
"16342",2015,"Pakistan","Rain","Rain","3rd ratoon cane","Preemergent","Grade 2","K99-72","130 cm","Chemical","Ferus soil","15-15-15","Grade 1",90.21,77.68,63.58,"Grade 1","C","Grade 3",2123.15
"16343",2016,"Bangladesh","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 1","LK92-11","120 cm","Chemical","Loam","25-07-2007","Grade 1",163.24,48.93,476.19,"Grade 3","C","Grade 2",2161.01
"16345",2018,"Sri Lanka","Rain","Groundwater","2nd ratoon cane","Herbicide","Grade 2","LK92-11","150 cm","Chemical","Loam","15-15-15","Grade 3",157.87,33.87,241.18,"Grade 2","A","Grade 2",2029.64
"16348",2021,"India","Rain","Rain","1st ratoon cane","Herbicide","Grade 1","LK92-11","120 cm","Chemical","Silty clay","16-16-16","Grade 2",123.98,45.72,221.25,"Grade 2","B","Grade 3",1745.08
"16349",2022,"Sri Lanka","Rain","Rain","1st ratoon cane","Herbicide","Grade 3","LK92-11","140 cm","Chemical","Ferus soil","15-15-15","Grade 3",190.12,70.52,285.15,"Grade 3","C","Grade 2",847.3
"16350",2023,"Nepal","Rain","Groundwater","1st ratoon cane","Herbicide","Grade 1","K99-72","120 cm","Organic","Loam","25-07-2007","Grade 3",66.02,27.25,256.27,"Grade 2","A","Grade 3",1990.61
"16351",1974,"Sri Lanka","Water pour","Natural canal","3rd ratoon cane","Preemergent","Grade 3","K84-200","150 cm","Organic","Loam","15-15-15","Grade 1",71.5,68.4,135.41,"Grade 2","C","Grade 3",2186.03
"16352",1975,"Bangladesh","Water pour","Natural canal","2nd ratoon cane","Preemergent","Grade 3","Khonkean3","140 cm","Chemical","Ferus soil","16-16-16","Grade 1",149.64,6.89,300.5,"Grade 1","B","Grade 3",1875.18
"16353",1976,"Nepal","Water pour","Natural canal","1st ratoon cane","Herbicide","Grade 3","K84-200","120 cm","Chemical","Loam","46-0-0","Grade 3",95.61,68.8,409.79,"Grade 2","C","Grade 1",1954.28
"16354",1977,"India","Water pour","Rain","1st ratoon cane","Preemergent","Grade 3","K99-72","120 cm","Organic","Silty clay","16-16-16","Grade 3",50.46,49.62,160.05,"Grade 3","A","Grade 1",1163.8
"16355",1978,"Bangladesh","Rain","Natural canal","3rd ratoon cane","Preemergent","Grade 2","Khonkean3","120 cm","Organic","Silty clay","25-07-2007","Grade 1",76.58,47.63,471.27,"Grade 3","C","Grade 3",1216.82
"16356",1979,"Sri Lanka","Water pour","Natural canal","2nd ratoon cane","Herbicide","Grade 1","LK92-11","140 cm","Chemical","Silty clay","25-07-2007","Grade 2",123.86,19.26,233.77,"Grade 2","B","Grade 1",538.92
"16357",1980,"Pakistan","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 3","LK92-11","140 cm","Chemical","Ferus soil","46-0-0","Grade 2",50.65,50.67,187.48,"Grade 2","B","Grade 1",1579.28
"16358",1981,"India","Water pour","Natural canal","1st ratoon cane","Preemergent","Grade 3","K84-200","140 cm","Organic","Ferus soil","46-0-0","Grade 3",118.41,9.81,86.8,"Grade 2","C","Grade 2",924.73
"16359",1982,"Bangladesh","Water pour","Groundwater","3rd ratoon cane","Herbicide","Grade 1","LK92-11","130 cm","Chemical","Loam","25-07-2007","Grade 1",152.84,33.3,225.41,"Grade 3","A","Grade 3",2521.36
"16362",1985,"Bangladesh","Rain","Groundwater","1st ratoon cane","Herbicide","Grade 3","K99-72","130 cm","Organic","Ferus soil","15-15-15","Grade 1",120.62,29.93,255.7,"Grade 1","B","Grade 1",2478.99
"16363",1986,"India","Water pour","Natural canal","3rd ratoon cane","Preemergent","Grade 1","Khonkean3","130 cm","Organic","Silty clay","46-0-0","Grade 3",197.08,69.72,262.57,"Grade 2","C","Grade 1",2001.92
"16364",1987,"Sri Lanka","Water pour","Natural canal","1st ratoon cane","Preemergent","Grade 2","K84-200","120 cm","Chemical","Silty clay","25-07-2007","Grade 3",102.45,55.31,299.04,"Grade 1","A","Grade 3",2849.03
"16365",1988,"Bangladesh","Rain","Rain","2nd ratoon cane","Herbicide","Grade 3","K99-72","120 cm","Chemical","Loam","15-15-15","Grade 1",79.84,76.92,146.17,"Grade 1","A","Grade 3",2173.8
"16366",1989,"Nepal","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 1","LK92-11","140 cm","Chemical","Loam","25-07-2007","Grade 2",149.9,59.43,452.5,"Grade 3","C","Grade 2",2746.2
"16367",1990,"Pakistan","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 1","LK92-11","120 cm","Chemical","Loam","46-0-0","Grade 1",71.08,14.18,204.14,"Grade 2","A","Grade 2",1554.66
"16368",1991,"Sri Lanka","Water pour","Rain","1st ratoon cane","Herbicide","Grade 2","K84-200","140 cm","Organic","Silty clay","16-16-16","Grade 2",56.59,57.49,66.58,"Grade 3","B","Grade 1",1454.76
"16370",1993,"Nepal","Rain","Rain","2nd ratoon cane","Herbicide","Grade 3","Khonkean3","150 cm","Organic","Loam","46-0-0","Grade 3",170.65,49.2,222.08,"Grade 1","A","Grade 1",2477.95
"16371",1994,"Pakistan","Rain","Natural canal","2nd ratoon cane","Preemergent","Grade 1","K84-200","120 cm","Chemical","Silty clay","16-16-16","Grade 2",97.1,56.62,284.93,"Grade 3","C","Grade 2",2516.1
"16372",1995,"India","Rain","Groundwater","3rd ratoon cane","Herbicide","Grade 3","K99-72","130 cm","Organic","Silty clay","46-0-0","Grade 3",132.08,79.86,334.47,"Grade 3","B","Grade 2",2276.92
"16373",1996,"Nepal","Water pour","Rain","2nd ratoon cane","Preemergent","Grade 3","K99-72","120 cm","Organic","Loam","16-16-16","Grade 1",106.06,17.64,412.07,"Grade 2","A","Grade 2",1316.27
"16374",1997,"Bangladesh","Rain","Rain","2nd ratoon cane","Herbicide","Grade 3","LK92-11","150 cm","Chemical","Silty clay","16-16-16","Grade 2",130.96,64.38,191.25,"Grade 3","A","Grade 1",867.38
"16377",2000,"Sri Lanka","Rain","Rain","1st ratoon cane","Preemergent","Grade 1","LK92-11","140 cm","Organic","Silty clay","46-0-0","Grade 1",74.52,85.65,257.01,"Grade 3","C","Grade 3",1262.06
"16379",2002,"India","Rain","Natural canal","1st ratoon cane","Herbicide","Grade 2","Khonkean3","150 cm","Chemical","Loam","46-0-0","Grade 2",104.54,69,85.94,"Grade 3","C","Grade 2",1653.83
"16381",2004,"Pakistan","Rain","Groundwater","1st ratoon cane","Preemergent","Grade 1","K99-72","140 cm","Chemical","Silty clay","16-16-16","Grade 2",198.78,40.3,129.88,"Grade 1","B","Grade 1",1006.31
"16382",2005,"India","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 2","LK92-11","130 cm","Chemical","Silty clay","15-15-15","Grade 3",112.12,98.06,161.32,"Grade 1","C","Grade 2",2031.95
"16383",2006,"Pakistan","Water pour","Rain","1st ratoon cane","Preemergent","Grade 2","K99-72","130 cm","Chemical","Silty clay","16-16-16","Grade 2",184.23,60.35,441.56,"Grade 3","B","Grade 1",1890.96
"16384",2007,"Sri Lanka","Rain","Natural canal","1st ratoon cane","Preemergent","Grade 2","K99-72","120 cm","Chemical","Loam","46-0-0","Grade 2",66.16,78.54,316.68,"Grade 3","C","Grade 3",936.33
"16386",2009,"Nepal","Water pour","Rain","2nd ratoon cane","Herbicide","Grade 2","LK92-11","130 cm","Chemical","Ferus soil","15-15-15","Grade 2",64.72,41.66,68.57,"Grade 1","C","Grade 1",1633.07
"16388",2011,"Sri Lanka","Rain","Rain","2nd ratoon cane","Preemergent","Grade 3","LK92-11","120 cm","Chemical","Silty clay","15-15-15","Grade 1",128.13,91.93,470.01,"Grade 2","B","Grade 2",2419.65
"16389",2012,"Pakistan","Rain","Groundwater","3rd ratoon cane","Herbicide","Grade 1","K84-200","140 cm","Chemical","Loam","15-15-15","Grade 2",56.65,21.8,328.33,"Grade 2","A","Grade 3",2535.84
"16390",2013,"Pakistan","Rain","Rain","2nd ratoon cane","Preemergent","Grade 3","Khonkean3","130 cm","Organic","Ferus soil","15-15-15","Grade 1",104.2,33.48,202.14,"Grade 2","B","Grade 1",1721.98
"16391",2014,"India","Rain","Groundwater","3rd ratoon cane","Preemergent","Grade 2","Khonkean3","130 cm","Organic","Silty clay","46-0-0","Grade 1",123.99,86.88,356.33,"Grade 2","B","Grade 1",822.6
"16392",2015,"Sri Lanka","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 2","Khonkean3","140 cm","Organic","Silty clay","25-07-2007","Grade 1",55.74,75.36,494.43,"Grade 3","B","Grade 2",1924.88
"16393",2016,"Sri Lanka","Rain","Groundwater","2nd ratoon cane","Herbicide","Grade 3","K99-72","140 cm","Chemical","Ferus soil","16-16-16","Grade 3",80.8,19.45,112.27,"Grade 1","B","Grade 2",1613.59
"16394",2017,"Nepal","Rain","Groundwater","1st ratoon cane","Herbicide","Grade 3","Khonkean3","140 cm","Organic","Loam","25-07-2007","Grade 2",63.66,27.16,269.97,"Grade 3","A","Grade 1",2202.74
"16395",2018,"Bangladesh","Rain","Rain","1st ratoon cane","Herbicide","Grade 2","Khonkean3","120 cm","Chemical","Silty clay","46-0-0","Grade 1",83.62,41.88,181.08,"Grade 3","A","Grade 1",1791.93
"16396",2019,"Sri Lanka","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 1","K99-72","140 cm","Chemical","Ferus soil","16-16-16","Grade 3",168.95,41.63,77.38,"Grade 2","C","Grade 2",1748.64
"16397",2020,"Pakistan","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 2","Khonkean3","150 cm","Chemical","Silty clay","15-15-15","Grade 2",116.43,72.55,198.51,"Grade 3","B","Grade 2",1709.7
"16399",2022,"India","Rain","Groundwater","3rd ratoon cane","Preemergent","Grade 2","K84-200","150 cm","Chemical","Loam","46-0-0","Grade 2",180.03,90.05,354.13,"Grade 1","B","Grade 2",1530.97
"16400",2023,"India","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 3","K84-200","140 cm","Chemical","Silty clay","46-0-0","Grade 2",128.2,27.72,290.31,"Grade 3","B","Grade 3",1708.3
"16401",1974,"Pakistan","Rain","Rain","2nd ratoon cane","Herbicide","Grade 1","K99-72","140 cm","Organic","Ferus soil","46-0-0","Grade 3",151.9,38.87,365.71,"Grade 3","B","Grade 3",2740.71
"16403",1976,"India","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 3","K99-72","150 cm","Organic","Loam","15-15-15","Grade 3",91.14,33.93,470.83,"Grade 1","B","Grade 2",2633.74
"16404",1977,"Sri Lanka","Water pour","Groundwater","1st ratoon cane","Herbicide","Grade 3","Khonkean3","120 cm","Chemical","Silty clay","16-16-16","Grade 3",161.82,55.58,151.08,"Grade 3","A","Grade 3",1326.05
"16405",1978,"Bangladesh","Rain","Groundwater","2nd ratoon cane","Herbicide","Grade 2","LK92-11","140 cm","Organic","Ferus soil","15-15-15","Grade 1",125.41,90.26,84.6,"Grade 3","A","Grade 1",1595.55
"16407",1980,"Sri Lanka","Rain","Rain","2nd ratoon cane","Preemergent","Grade 3","K84-200","150 cm","Chemical","Ferus soil","46-0-0","Grade 3",149.84,61.21,30.37,"Grade 2","C","Grade 3",1697.39
"16408",1981,"Bangladesh","Rain","Natural canal","1st ratoon cane","Herbicide","Grade 3","Khonkean3","130 cm","Organic","Loam","15-15-15","Grade 2",135.32,57.19,65.29,"Grade 1","C","Grade 1",1320.13
"16410",1983,"Nepal","Rain","Rain","3rd ratoon cane","Herbicide","Grade 2","K84-200","130 cm","Organic","Loam","25-07-2007","Grade 3",187.89,98.37,383.95,"Grade 1","C","Grade 3",898.59
"16411",1984,"Bangladesh","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 1","Khonkean3","150 cm","Organic","Ferus soil","46-0-0","Grade 1",154.95,61.56,82.83,"Grade 3","C","Grade 3",2593.39
"16412",1985,"Sri Lanka","Water pour","Natural canal","3rd ratoon cane","Preemergent","Grade 2","LK92-11","120 cm","Chemical","Silty clay","15-15-15","Grade 3",67.61,71.53,369.37,"Grade 2","C","Grade 2",2799.59
"16413",1986,"Sri Lanka","Water pour","Natural canal","1st ratoon cane","Preemergent","Grade 1","K84-200","130 cm","Organic","Loam","25-07-2007","Grade 1",77.88,23.8,481.56,"Grade 3","A","Grade 1",2264.28
"16414",1987,"India","Water pour","Groundwater","1st ratoon cane","Herbicide","Grade 1","K84-200","150 cm","Chemical","Silty clay","16-16-16","Grade 2",167.72,63.86,438.49,"Grade 1","A","Grade 1",718.08
"16415",1988,"Nepal","Rain","Groundwater","2nd ratoon cane","Preemergent","Grade 2","LK92-11","150 cm","Organic","Loam","16-16-16","Grade 3",113.91,75.86,445.42,"Grade 1","B","Grade 3",648.06
"16416",1989,"Nepal","Rain","Natural canal","3rd ratoon cane","Preemergent","Grade 2","LK92-11","150 cm","Organic","Ferus soil","16-16-16","Grade 1",155.11,87.56,54.06,"Grade 2","C","Grade 2",1477.62
"16417",1990,"Pakistan","Water pour","Groundwater","3rd ratoon cane","Herbicide","Grade 3","Khonkean3","140 cm","Chemical","Silty clay","16-16-16","Grade 3",137.05,69.21,416.28,"Grade 3","A","Grade 3",2882.04
"16418",1991,"Nepal","Water pour","Natural canal","1st ratoon cane","Herbicide","Grade 3","LK92-11","140 cm","Organic","Silty clay","46-0-0","Grade 2",58.82,74.72,325.68,"Grade 2","A","Grade 1",1207.93
"16419",1992,"Bangladesh","Water pour","Natural canal","2nd ratoon cane","Herbicide","Grade 2","LK92-11","150 cm","Organic","Silty clay","16-16-16","Grade 3",130.83,79.34,325.06,"Grade 3","B","Grade 1",1455.48
"16420",1993,"Bangladesh","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 2","K84-200","150 cm","Organic","Loam","15-15-15","Grade 3",197.94,24.19,454.17,"Grade 2","A","Grade 2",2763.72
"16421",1994,"Sri Lanka","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 3","K84-200","120 cm","Organic","Loam","16-16-16","Grade 1",109.43,95.68,476.91,"Grade 3","C","Grade 1",973.17
"16422",1995,"Bangladesh","Rain","Rain","2nd ratoon cane","Herbicide","Grade 1","LK92-11","120 cm","Organic","Ferus soil","16-16-16","Grade 3",136.88,25.17,472.93,"Grade 3","B","Grade 2",2563.28
"16423",1996,"India","Rain","Rain","2nd ratoon cane","Preemergent","Grade 1","K84-200","120 cm","Organic","Loam","16-16-16","Grade 1",137.15,41.65,13.32,"Grade 1","C","Grade 1",1258.18
"16424",1997,"Nepal","Water pour","Groundwater","1st ratoon cane","Herbicide","Grade 1","K84-200","120 cm","Chemical","Ferus soil","15-15-15","Grade 3",164.55,28.73,182.66,"Grade 2","C","Grade 2",1773.33
"16427",2000,"India","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 3","K84-200","150 cm","Chemical","Ferus soil","25-07-2007","Grade 1",147.02,9.04,144.62,"Grade 1","B","Grade 2",2058.11
"16428",2001,"Sri Lanka","Rain","Rain","2nd ratoon cane","Preemergent","Grade 3","K84-200","120 cm","Organic","Silty clay","16-16-16","Grade 3",105.64,80.89,164.28,"Grade 2","A","Grade 3",1640.83
"16429",2002,"India","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 1","LK92-11","150 cm","Organic","Loam","16-16-16","Grade 1",139.08,93.56,56.34,"Grade 3","C","Grade 3",1503.6
"16431",2004,"Sri Lanka","Rain","Groundwater","1st ratoon cane","Herbicide","Grade 2","K84-200","130 cm","Organic","Loam","25-07-2007","Grade 3",182.99,57.44,118.85,"Grade 3","B","Grade 2",1416.74
"16432",2005,"Nepal","Water pour","Groundwater","2nd ratoon cane","Preemergent","Grade 1","Khonkean3","130 cm","Organic","Ferus soil","46-0-0","Grade 1",152.5,32.57,319.82,"Grade 2","B","Grade 3",2756.5
"16437",2010,"Nepal","Water pour","Groundwater","1st ratoon cane","Herbicide","Grade 3","LK92-11","130 cm","Organic","Ferus soil","15-15-15","Grade 2",167.26,77.72,212,"Grade 1","A","Grade 1",562.49
"16439",2012,"Bangladesh","Water pour","Natural canal","3rd ratoon cane","Preemergent","Grade 1","K99-72","140 cm","Organic","Silty clay","16-16-16","Grade 3",55.43,5.06,286.13,"Grade 2","C","Grade 2",1125.86
"16441",2014,"Sri Lanka","Rain","Natural canal","1st ratoon cane","Preemergent","Grade 1","K84-200","130 cm","Chemical","Ferus soil","15-15-15","Grade 2",75.69,26.42,379.46,"Grade 1","A","Grade 2",2555.23
"16442",2015,"Pakistan","Rain","Groundwater","2nd ratoon cane","Herbicide","Grade 3","K84-200","120 cm","Chemical","Loam","46-0-0","Grade 2",133.92,13.5,186.49,"Grade 2","C","Grade 3",528.85
"16443",2016,"Nepal","Water pour","Natural canal","2nd ratoon cane","Preemergent","Grade 1","LK92-11","120 cm","Organic","Ferus soil","25-07-2007","Grade 2",90.63,11.42,311.31,"Grade 2","B","Grade 2",1426.98
"16445",2018,"Bangladesh","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 2","LK92-11","120 cm","Chemical","Silty clay","16-16-16","Grade 1",101.08,99.21,76.06,"Grade 2","A","Grade 2",2550.36
"16446",2019,"Nepal","Rain","Natural canal","1st ratoon cane","Preemergent","Grade 2","K99-72","150 cm","Chemical","Silty clay","46-0-0","Grade 3",145.15,53.06,403.6,"Grade 2","C","Grade 2",1162.78
"16447",2020,"Bangladesh","Rain","Natural canal","2nd ratoon cane","Preemergent","Grade 3","K99-72","120 cm","Organic","Loam","25-07-2007","Grade 1",116.68,77.26,365.34,"Grade 1","A","Grade 3",2623.61
"16448",2021,"Pakistan","Water pour","Natural canal","3rd ratoon cane","Preemergent","Grade 3","LK92-11","150 cm","Chemical","Loam","25-07-2007","Grade 3",177.86,96.05,272.95,"Grade 1","B","Grade 2",1123.76
"16449",2022,"India","Rain","Natural canal","1st ratoon cane","Herbicide","Grade 3","LK92-11","140 cm","Chemical","Ferus soil","25-07-2007","Grade 2",162.98,38.04,291.53,"Grade 1","A","Grade 1",1073.33
"16450",2023,"Pakistan","Rain","Natural canal","1st ratoon cane","Preemergent","Grade 2","K99-72","120 cm","Chemical","Loam","15-15-15","Grade 3",102.61,66.21,306.8,"Grade 1","B","Grade 3",513.65
"16451",1974,"India","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 1","K84-200","140 cm","Chemical","Ferus soil","16-16-16","Grade 2",158.85,53.95,107.7,"Grade 2","A","Grade 3",1316.95
"16452",1975,"Pakistan","Water pour","Natural canal","2nd ratoon cane","Herbicide","Grade 1","LK92-11","140 cm","Organic","Silty clay","25-07-2007","Grade 2",50.7,25.52,428.56,"Grade 2","C","Grade 2",2582.21
"16453",1976,"Nepal","Rain","Rain","2nd ratoon cane","Preemergent","Grade 1","K99-72","150 cm","Organic","Ferus soil","25-07-2007","Grade 1",105.51,69.48,57.14,"Grade 2","C","Grade 2",1323.14
"16454",1977,"Sri Lanka","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 1","Khonkean3","140 cm","Organic","Ferus soil","16-16-16","Grade 2",170.08,17.18,188.04,"Grade 1","B","Grade 2",2666.27
"16455",1978,"Pakistan","Water pour","Natural canal","1st ratoon cane","Herbicide","Grade 1","K84-200","130 cm","Chemical","Silty clay","16-16-16","Grade 2",164.12,83.87,60.5,"Grade 1","B","Grade 1",1739.74
"16458",1981,"Nepal","Water pour","Rain","1st ratoon cane","Preemergent","Grade 1","Khonkean3","120 cm","Chemical","Loam","15-15-15","Grade 1",121.98,24.57,139.03,"Grade 1","C","Grade 2",2670.56
"16459",1982,"Pakistan","Rain","Rain","1st ratoon cane","Herbicide","Grade 3","LK92-11","130 cm","Organic","Loam","15-15-15","Grade 1",158.15,7.91,293.17,"Grade 1","A","Grade 3",1956.68
"16460",1983,"Sri Lanka","Rain","Natural canal","2nd ratoon cane","Herbicide","Grade 2","Khonkean3","150 cm","Organic","Silty clay","46-0-0","Grade 2",97.91,96.01,161.86,"Grade 2","A","Grade 1",2564.15
"16462",1985,"Sri Lanka","Water pour","Rain","1st ratoon cane","Preemergent","Grade 3","LK92-11","150 cm","Chemical","Loam","46-0-0","Grade 2",131.13,19.01,95.28,"Grade 3","A","Grade 2",1672.53
"16463",1986,"Sri Lanka","Water pour","Groundwater","1st ratoon cane","Herbicide","Grade 1","Khonkean3","120 cm","Organic","Loam","16-16-16","Grade 3",126.82,13.7,475.65,"Grade 1","A","Grade 3",1816.29
"16464",1987,"Sri Lanka","Water pour","Natural canal","3rd ratoon cane","Preemergent","Grade 2","K99-72","130 cm","Organic","Loam","25-07-2007","Grade 1",139.41,16.15,50.42,"Grade 2","A","Grade 2",859.07
"16465",1988,"Nepal","Rain","Groundwater","3rd ratoon cane","Herbicide","Grade 2","Khonkean3","150 cm","Chemical","Loam","46-0-0","Grade 2",150.42,33.63,129.76,"Grade 1","A","Grade 2",1539.48
"16466",1989,"Bangladesh","Water pour","Natural canal","2nd ratoon cane","Preemergent","Grade 2","K84-200","120 cm","Chemical","Loam","25-07-2007","Grade 3",127.11,61.38,186.48,"Grade 2","A","Grade 3",1476.88
"16467",1990,"Sri Lanka","Water pour","Rain","2nd ratoon cane","Preemergent","Grade 1","K99-72","120 cm","Organic","Loam","15-15-15","Grade 3",198.94,36.71,51.24,"Grade 3","B","Grade 2",616.52
"16468",1991,"Nepal","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 1","K84-200","130 cm","Organic","Ferus soil","46-0-0","Grade 1",117.06,11.19,60.08,"Grade 2","C","Grade 3",1725.38
"16470",1993,"Bangladesh","Rain","Groundwater","3rd ratoon cane","Preemergent","Grade 3","K99-72","150 cm","Organic","Ferus soil","15-15-15","Grade 1",52.33,90.04,462.96,"Grade 3","B","Grade 2",1840.84
"16471",1994,"Bangladesh","Water pour","Groundwater","3rd ratoon cane","Herbicide","Grade 1","LK92-11","120 cm","Chemical","Silty clay","16-16-16","Grade 1",126.88,91.57,429.63,"Grade 2","C","Grade 3",2011.96
"16472",1995,"Bangladesh","Rain","Rain","1st ratoon cane","Herbicide","Grade 3","Khonkean3","130 cm","Organic","Loam","25-07-2007","Grade 3",168.18,30.49,211.93,"Grade 3","C","Grade 2",1037.75
"16473",1996,"Bangladesh","Rain","Rain","1st ratoon cane","Preemergent","Grade 3","LK92-11","150 cm","Organic","Loam","25-07-2007","Grade 1",102.94,57.76,357.72,"Grade 1","B","Grade 1",2237.81
"16474",1997,"Nepal","Water pour","Groundwater","2nd ratoon cane","Preemergent","Grade 2","K99-72","140 cm","Chemical","Silty clay","25-07-2007","Grade 2",188.86,36.44,461.96,"Grade 1","A","Grade 2",884.04
